lap,checkpoint,race_time_ms,split_ms
1,0,13077,2110
1,1,15263,2186
1,2,18647,3384
1,3,23081,4434
1,4,25815,2734
1,5,27894,2079
1,6,30262,2368
1,7,35475,5213
2,0,35940,465
2,1,36972,1032
2,2,38822,1850
2,3,39616,794
2,4,40796,1180
2,5,42184,1388
2,6,44148,1964
2,7,49822,5674
3,0,50155,333
3,1,50700,545
3,2,51758,1058
3,3,52588,830
3,4,53117,529
3,5,58380,5263
3,6,59915,1535
3,7,63642,3727
4,0,63974,332
4,1,64544,570
4,2,65945,1401
4,3,67120,1175
4,4,68378,1258
4,5,70198,1820
4,6,71266,1068
4,7,74288,3022
5,0,74688,400
5,1,75205,517
5,2,77792,2587
5,3,78626,834
5,4,81491,2865
5,5,83211,1720
5,6,85228,2017
5,7,95882,10654
6,0,96247,365
6,1,96816,569
6,2,97916,1100
6,3,99470,1554
6,4,100184,714
6,5,101788,1604
6,6,102959,1171
6,7,107192,4233
7,0,107642,450
7,1,108178,536
7,2,110392,2214
7,3,111762,1370
7,4,112408,646
7,5,113644,1236
7,6,114558,914
7,7,120888,6330
8,0,121410,522
8,1,121926,516
8,2,122976,1050
8,3,123692,716
8,4,124210,518
8,5,125297,1087
8,6,127024,1727
8,7,130092,3068
9,0,130465,373
9,1,130952,487
9,2,131872,920
9,3,132538,666
9,4,133052,514
9,5,134231,1179
9,6,135135,904
9,7,146536,11401
10,0,147024,488
10,1,147555,531
10,2,148664,1109
10,3,149666,1002
10,4,150287,621
10,5,151775,1488
10,6,152728,953
10,7,158159,5431
11,0,158677,518
11,1,159199,522
11,2,160252,1053
11,3,161043,791
11,4,161579,536
11,5,163403,1824
11,6,164658,1255
11,7,168930,4272
12,0,169398,468
12,1,169932,534
12,2,171650,1718
12,3,172724,1074
12,4,173242,518
12,5,174864,1622
12,6,176034,1170
12,7,181062,5028
13,0,181531,469
13,1,182001,470
13,2,189005,7004
13,3,190092,1087
13,4,190590,498
13,5,191817,1227
13,6,193210,1393
13,7,196678,3468
14,0,197042,364
14,1,197537,495
14,2,198486,949
14,3,199139,653
14,4,199618,479
14,5,200817,1199
14,6,202064,1247
14,7,220661,18597
15,0,221096,435
15,1,221644,548
15,2,222642,998
15,3,223340,698
15,4,223821,481
15,5,224967,1146
15,6,226129,1162
15,7,231632,5503
16,0,232313,681
16,1,232815,502
16,2,233814,999
16,3,234751,937
16,4,235250,499
16,5,236353,1103
16,6,237275,922
16,7,240829,3554
17,0,241244,415
17,1,241726,482
17,2,242691,965
17,3,243471,780
17,4,243990,519
17,5,245075,1085
17,6,245938,863
17,7,255494,9556
18,0,255897,403
18,1,256374,477
18,2,257272,898
18,3,257997,725
18,4,258682,685
18,5,259763,1081
18,6,260858,1095
18,7,264577,3719
19,0,265050,473
19,1,265475,425
19,2,266594,1119
19,3,267621,1027
19,4,268073,452
19,5,269249,1176
19,6,271182,1933
19,7,275207,4025
20,0,275554,347
20,1,276054,500
20,2,276964,910
20,3,277699,735
20,4,278128,429
20,5,279409,1281
20,6,280369,960
20,7,284350,3981
21,0,284784,434
21,1,285254,470
21,2,286385,1131
21,3,287344,959
21,4,287773,429
21,5,288866,1093
21,6,289901,1035
21,7,293981,4080
22,0,294315,334
22,1,294778,463
22,2,297109,2331
22,3,298598,1489
22,4,299131,533
22,5,300350,1219
22,6,301787,1437
22,7,306584,4797
23,0,307002,418
23,1,307550,548
23,2,308933,1383
23,3,309830,897
23,4,310450,620
23,5,311652,1202
23,6,312554,902
23,7,317141,4587
24,0,317673,532
24,1,318209,536
24,2,319099,890
24,3,319898,799
24,4,320312,414
24,5,321378,1066
24,6,322424,1046
24,7,325750,3326
