start_ms,end_ms,duration_ms
12032,12599,567
13445,14495,1050
15479,15679,200
15860,16557,697
16871,17841,970
18894,20748,1854
21473,22551,1078
23811,25402,1591
26167,27012,845
28704,29435,731
30296,31108,812
32361,32547,186
33298,34626,1328
37268,37684,416
39634,39651,17
41130,41328,198
42997,43212,215
44937,45089,152
45449,45648,199
45782,46689,907
47400,48631,1231
53379,54050,671
54902,55070,168
56823,57151,328
60449,60981,532
63527,63659,132
66383,67120,737
68696,68813,117
68981,69417,436
76126,77107,981
79497,81292,1795
82809,83109,300
84345,84845,500
85908,86028,120
86342,86476,134
86960,87688,728
88669,89532,863
90141,90342,201
91325,91561,236
91594,93134,1540
93250,94653,1403
98334,98700,366
100286,100968,682
101921,101986,65
103781,103850,69
104317,104635,318
105608,106341,733
109036,109742,706
110606,111236,630
114442,114458,16
117524,117722,198
118134,120255,2121
131855,131921,66
136668,137222,554
137880,138198,318
139131,140149,1018
140929,141529,600
142756,143671,915
145368,145921,553
150486,150972,486
151876,151944,68
154137,154741,604
155715,156151,436
156789,157555,766
162214,162753,539
163635,163720,85
164808,164892,84
165275,165425,150
165458,166173,715
167729,168395,666
170846,171231,385
171972,172256,284
174095,174482,387
176920,176970,50
177255,178089,834
179358,179575,217
180282,180451,169
182807,182904,97
183389,184533,1144
186056,186469,413
187367,188485,1118
194981,195382,401
198486,198519,33
200918,200934,16
203145,203776,631
203976,204921,945
206068,207117,1049
207497,209562,2065
210656,212022,1366
212732,214262,1530
215107,217868,2761
219007,219474,467
227720,228597,877
229446,229564,118
230389,231252,863
236386,236455,69
239800,240281,481
244274,244307,33
247290,248167,877
249239,249456,217
250266,251275,1009
252407,252673,266
253826,254490,664
258946,258963,17
262938,263227,289
269797,270682,885
272711,273408,697
282104,282516,412
283240,283504,264
285854,285886,32
288023,288106,83
291278,291890,612
293204,293255,51
295774,296581,807
297458,297981,523
303415,304032,617
305147,305764,617
309434,309568,134
313984,314722,738
315940,316492,552
320544,320614,70
